cow_id,bull_id
RU00000090385,US00000003013
GB00000090905,US00000003013
GB00000082055,US00000003013
NL00000005443,US00000003013
RU00000090259,US00000003013
NL00000093076,US00000003013
GB00000005223,US00000003013
FR00000005227,US00000003013
GB00000005302,US00000003013
RU00000005377,US00000003013
RU00000005606,US00000003013
NL00000005816,US00000003013
RU00000006433,US00000003013
GB00000006548,US00000003013
GB00000006655,US00000003013
US00000007300,US00000003013
GB00000007959,US00000003013
DE00000006764,US00000003013
GB00000006915,US00000003013
DE00000007993,US00000003013
DE00000008128,US00000003013
RU00000006925,US00000003013
DE00000006928,US00000003013
NL00000006939,US00000003013
NL00000006949,US00000003013
RU00000008285,US00000003013
FR00000007218,US00000003013
RU00000007232,US00000003013
RU00000009103,US00000003013
RU00000009142,US00000003013
RU00000009148,US00000003013
US00000009197,US00000003013
FR00000008593,US00000003013
DE00000008605,US00000003013
US00000009322,US00000003013
GB00000004665,US00000003013
NL00000004712,US00000003013
US00000004806,US00000003013
NL00000009466,US00000003013
GB00000012926,US00000003013
FR00000013068,US00000003013
US00000009700,US00000003013
NL00000009705,US00000003013
NL00000009707,US00000003013
GB00000011398,US00000003013
NL00000011494,US00000003013
GB00000010033,US00000003013
US00000013084,US00000003013
FR00000013230,US00000003013
RU00000011813,US00000003013
US00000010270,US00000003013
RU00000012098,US00000003013
GB00000012206,US00000003013
DE00000010292,US00000003013
DE00000012456,US00000003013
NL00000013597,US00000003013
DE00000013715,US00000003013
DE00000010683,US00000003013
RU00000010740,US00000003013
NL00000012507,US00000003013
NL00000012528,US00000003013
US00000012568,US00000003013
NL00000010786,US00000003013
FR00000014377,US00000003013
NL00000014384,US00000003013
DE00000014506,US00000003013
NL00000014615,US00000003013
GB00000010969,US00000003013
US00000010998,US00000003013
RU00000011049,US00000003013
FR00000011077,US00000003013
GB00000011106,US00000003013
US00000018576,US00000003013
NL00000018585,US00000003013
US00000018665,US00000003013
FR00000018958,US00000003013
GB00000015133,US00000003013
DE00000016610,US00000003013
RU00000015280,US00000003013
NL00000015346,US00000003013
US00000015353,US00000003013
RU00000015362,US00000003013
NL00000015369,US00000003013
DE00000015423,US00000003013
FR00000016867,US00000003013
RU00000015475,US00000003013
FR00000015651,US00000003013
GB00000017272,US00000003013
FR00000017587,US00000003013
GB00000015800,US00000003013
GB00000019723,US00000003013
FR00000019737,US00000003013
NL00000019929,US00000003013
NL00000019940,US00000003013
DE00000019966,US00000003013
NL00000017851,US00000003013
FR00000016037,US00000003013
RU00000016115,US00000003013
DE00000020219,US00000003013
GB00000016171,US00000003013
GB00000016174,US00000003013
RU00000016176,US00000003013
DE00000020407,US00000003013
RU00000020439,US00000003013
RU00000021836,US00000003013
RU00000020784,US00000003013
RU00000021076,US00000003013
GB00000021102,US00000003013
US00000021206,US00000003013
FR00000021348,US00000003013
GB00000021432,US00000003013
DE00000022260,US00000003013
DE00000022487,US00000003013
NL00000022915,US00000003013
GB00000018451,US00000003013
RU00000018508,US00000003013
DE00000024860,US00000003013
RU00000025022,US00000003013
RU00000027702,US00000003013
FR00000023339,US00000003013
NL00000027812,US00000003013
DE00000027978,US00000003013
DE00000025366,US00000003013
US00000023911,US00000003013
FR00000023930,US00000003013
FR00000028232,US00000003013
NL00000025628,US00000003013
NL00000025755,US00000003013
RU00000028302,US00000003013
FR00000028303,US00000003013
GB00000029822,US00000003013
FR00000028459,US00000003013
RU00000026014,US00000003013
FR00000026015,US00000003013
FR00000029987,US00000003013
DE00000030188,US00000003013
NL00000028573,US00000003013
RU00000026181,US00000003013
FR00000026245,US00000003013
DE00000026324,US00000003013
RU00000026364,US00000003013
GB00000026429,US00000003013
DE00000026430,US00000003013
GB00000028968,US00000003013
FR00000028980,US00000003013
DE00000029055,US00000003013
DE00000029228,US00000003013
US00000026748,US00000003013
FR00000026758,US00000003013
FR00000026841,US00000003013
NL00000026845,US00000003013
FR00000026848,US00000003013
FR00000026856,US00000003013
RU00000026861,US00000003013
GB00000026868,US00000003013
US00000026870,US00000003013
NL00000026907,US00000003013
FR00000026922,US00000003013
DE00000026993,US00000003013
GB00000030675,US00000003013
US00000030936,US00000003013
RU00000030940,US00000003013
NL00000027010,US00000003013
RU00000027020,US00000003013
GB00000027027,US00000003013
DE00000027044,US00000003013
RU00000027081,US00000003013
GB00000031127,US00000003013
RU00000031147,US00000003013
NL00000027138,US00000003013
FR00000027154,US00000003013
GB00000027351,US00000003013
RU00000031184,US00000003013
DE00000031690,US00000003013
GB00000027575,US00000003013
NL00000031789,US00000003013
GB00000032495,US00000003013
US00000032526,US00000003013
RU00000032003,US00000003013
FR00000032528,US00000003013
NL00000031918,US00000003013
RU00000032142,US00000003013
FR00000032288,US00000003013
US00000033217,US00000003013
DE00000033243,US00000003013
NL00000033721,US00000003013
US00000032823,US00000003013
DE00000032829,US00000003013
GB00000034226,US00000003013
DE00000035640,US00000003013
DE00000035641,US00000003013
DE00000035614,US00000003013
NL00000034704,US00000003013
FR00000035898,US00000003013
US00000036678,US00000003013
US00000036691,US00000003013
GB00000036086,US00000003013
DE00000037393,US00000003013
RU00000037450,US00000003013
US00000037027,US00000003013
